id,agency_id,status,created,sent,due_date,fullfilled_date,private,num_messages,contacts
507,,Incomplete,2014-02-25 17:12:31+00:00,None,None,None,True,0,
508,,Incomplete,2014-02-25 17:33:20+00:00,None,None,None,True,0,
509,,Incomplete,2014-02-25 17:33:39+00:00,None,None,None,True,0,
510,10,Filed (Request sent),2014-02-25 17:43:49+00:00,2014-02-26 14:36:48+00:00,2014-03-26 14:36:48+00:00,None,True,1,
512,59,New (Unsent),2014-02-25 19:23:01+00:00,None,None,None,True,0,58
513,,Incomplete,2014-02-25 19:24:10+00:00,None,None,None,True,0,
514,,Incomplete,2014-02-25 19:27:47+00:00,None,None,None,True,0,
515,,Incomplete,2014-02-25 19:27:48+00:00,None,None,None,True,0,
517,,Incomplete,2014-02-25 19:38:26+00:00,None,None,None,True,0,
518,,Incomplete,2014-02-25 19:39:24+00:00,None,None,None,True,0,
519,,Incomplete,2014-02-25 19:39:27+00:00,None,None,None,True,0,
521,,Incomplete,2014-02-25 20:08:09+00:00,None,None,None,True,0,
522,27,Filed (Request sent),2014-02-25 20:15:24+00:00,2014-02-25 20:20:05+00:00,2014-03-25 20:20:05+00:00,None,True,2,26
523,1,New (Unsent),2014-02-25 20:18:45+00:00,None,None,None,True,0,7
524,,Incomplete,2014-02-25 20:41:32+00:00,None,None,None,True,0,
526,,Incomplete,2014-02-25 21:28:22+00:00,None,None,None,True,0,
527,,Incomplete,2014-02-25 21:46:22+00:00,None,None,None,True,0,
528,64,Filed (Request sent),2014-02-25 22:31:56+00:00,2014-02-25 22:34:38+00:00,2014-03-04 22:34:38+00:00,None,True,1,60
529,1,Filed (Request sent),2014-02-25 23:16:58+00:00,2014-02-25 23:20:53+00:00,2014-03-25 23:20:53+00:00,None,True,3,2
530,,Incomplete,2014-02-25 23:17:40+00:00,None,None,None,True,0,
531,,Incomplete,2014-02-25 23:30:01+00:00,None,None,None,True,0,
532,59,New (Unsent),2014-02-25 23:50:55+00:00,None,None,None,True,0,58
533,46,Filed (Request sent),2014-02-26 00:31:46+00:00,2014-02-26 00:33:19+00:00,2014-03-26 00:33:19+00:00,None,True,1,46
534,69,Filed (Request sent),2014-02-26 01:51:04+00:00,2014-03-28 01:28:53+00:00,None,None,True,1,61
535,69,Incomplete,2014-02-26 03:30:25+00:00,None,None,None,True,0,61
536,1,Filed (Request sent),2014-02-26 07:57:19+00:00,None,2014-02-27 23:00:00+00:00,None,True,0,5
538,,Incomplete,2014-02-26 16:54:01+00:00,None,None,None,True,0,
539,,New (Unsent),2014-02-26 16:55:14+00:00,None,None,None,True,0,62
540,10,New (Unsent),2014-02-26 16:56:18+00:00,None,None,None,True,0,
541,,Incomplete,2014-02-26 16:57:52+00:00,None,None,None,True,0,
542,,Incomplete,2014-02-26 16:58:49+00:00,None,None,None,True,0,
543,,Incomplete,2014-02-26 17:04:45+00:00,None,None,None,True,0,
544,,Incomplete,2014-02-26 17:05:03+00:00,None,None,None,True,0,
545,53,Incomplete,2014-02-26 17:05:20+00:00,None,None,None,True,0,"51,52"
547,19,Filed (Request sent),2014-02-26 17:09:52+00:00,2014-02-26 17:13:40+00:00,2014-03-26 17:13:40+00:00,None,True,1,18
548,,Filed (Request sent),2014-02-26 17:12:07+00:00,2014-04-01 20:59:49+00:00,None,None,True,1,112
